time,temperature_2m (°C),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),relative_humidity_2m (%),cloud_cover (%),wind_speed_10m (km/h)
1/1/2020,18,0,0,0,0,0,74,4,5.7
1/1/2020 0:59,15.3,0,0,0,0,0,86,3,6.1
1/1/2020 2:00,14.7,0,0,0,0,0,91,3,5.5
1/1/2020 3:00,14.3,0,0,0,0,0,92,2,7.1
1/1/2020 3:59,15.4,0,0,0,0,0,88,1,4.6
1/1/2020 5:00,16.4,0,0,0,0,0,85,8,1.6
1/1/2020 6:00,16.8,0,0,0,0,0,81,4,1.6
1/1/2020 6:59,16.8,2,0,2,0,1.9,81,36,3.2
1/1/2020 8:00,17.4,76,33,43,215.4,115.6,82,12,2.9
1/1/2020 9:00,20.1,232,148,84,430.7,319.8,74,29,2.1
1/1/2020 9:59,22.6,392,284,108,568.2,517.3,65,66,2.4
1/1/2020 11:00,24.1,501,360,141,589.1,636.9,60,78,1.8
1/1/2020 12:00,25.2,556,400,156,597.1,697,56,80,1.8
1/1/2020 12:59,25.8,562,404,158,601,704.1,53,70,2.5
1/1/2020 14:00,26.2,512,376,136,608.6,653.1,50,54,5
1/1/2020 15:00,26,391,274,117,536.7,509.4,49,50,5.9
1/1/2020 15:59,25,222,125,97,349.6,292.8,57,58,4.9
1/1/2020 17:00,21.8,81,34,47,200.7,118,75,46,7.5
1/1/2020 18:00,19.7,3,0,3,0,2.9,74,39,7.2
1/1/2020 18:59,18.9,0,0,0,0,0,77,19,6.3
1/1/2020 20:00,19.4,0,0,0,0,0,73,12,5.1
1/1/2020 21:00,17.4,0,0,0,0,0,84,3,4.1
1/1/2020 21:59,16.7,0,0,0,0,0,89,22,5.4
1/1/2020 23:00,16,0,0,0,0,0,91,39,6.2
1/2/2020,16.7,0,0,0,0,0,89,17,5.7
1/2/2020 0:59,17.2,0,0,0,0,0,88,39,2.1
1/2/2020 2:00,14.8,0,0,0,0,0,96,23,5.2
1/2/2020 3:00,15.3,0,0,0,0,0,97,67,6.9
1/2/2020 3:59,15.8,0,0,0,0,0,96,39,9.1
1/2/2020 5:00,16,0,0,0,0,0,95,48,9.2
1/2/2020 6:00,16.5,0,0,0,0,0,94,47,9
1/2/2020 6:59,16.5,1,0,1,0,1,94,91,6.6
1/2/2020 8:00,17.9,64,15,49,98.5,81,88,70,8.6
1/2/2020 9:00,20.3,204,107,97,311.9,266.2,79,79,6.2
1/2/2020 9:59,22.8,366,237,129,474.3,469,70,97,6.1
1/2/2020 11:00,23.9,366,136,230,222.4,411.1,65,92,6.1
1/2/2020 12:00,25,454,246,208,366.8,536.6,60,88,4.6
1/2/2020 12:59,25.9,541,348,193,516.7,660.9,55,64,5
1/2/2020 14:00,26.2,485,331,154,534.3,607.5,53,73,5.8
1/2/2020 15:00,26.2,383,252,131,491.6,490.4,52,97,6.9
1/2/2020 15:59,25.2,200,68,132,189,235.4,59,98,5.8
1/2/2020 17:00,22.6,75,17,58,98.9,92,75,90,6.9
1/2/2020 18:00,21.5,4,0,4,0,3.9,75,4,7.6
1/2/2020 18:59,21.2,0,0,0,0,0,73,59,7.2
1/2/2020 20:00,20.9,0,0,0,0,0,74,91,7.6
1/2/2020 21:00,20,0,0,0,0,0,78,92,7
1/2/2020 21:59,19.7,0,0,0,0,0,81,84,6.8
1/2/2020 23:00,19.4,0,0,0,0,0,84,95,7.6
1/3/2020,18.9,0,0,0,0,0,88,93,5.4
1/3/2020 0:59,18.8,0,0,0,0,0,89,91,6.6
1/3/2020 2:00,18.3,0,0,0,0,0,92,80,5.8
1/3/2020 3:00,18.2,0,0,0,0,0,92,90,6.5
1/3/2020 3:59,18.3,0,0,0,0,0,91,94,5.5
1/3/2020 5:00,18.1,0,0,0,0,0,92,96,4.2
1/3/2020 6:00,17.3,0,0,0,0,0,82,93,13
1/3/2020 6:59,17,0,0,0,0,0,88,100,14.5
