DateTime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,YEAR,MO,DY,HR,T2M,QV2M,WS10M,PRECTOTCORR,ALLSKY_SFC_UV_INDEX
12/16/2006 17:00,4.222888889,0.229,234.6438889,18.1,0,0.527777778,16.86111111,2006,12,16,17,5.69,6.1,3.24,0.03,0
12/16/2006 18:00,3.6322,0.080033333,234.5801667,15.6,0,6.716666667,16.86666667,2006,12,16,18,5.65,6.1,3.33,0.01,0
12/16/2006 19:00,3.400233333,0.085233333,233.2325,14.50333333,0,1.433333333,16.68333333,2006,12,16,19,5.74,6.04,3.29,0.02,0
12/16/2006 20:00,3.268566667,0.0751,234.0715,13.91666667,0,0,16.78333333,2006,12,16,20,5.65,5.92,3,0.02,0
12/16/2006 21:00,3.056466667,0.076666667,237.1586667,13.04666667,0,0.416666667,17.21666667,2006,12,16,21,5.6,5.8,2.64,0.04,0
12/16/2006 22:00,2.200133333,0.056166667,238.76,9.523333333,0,0.133333333,4.433333333,2006,12,16,22,5.23,5.55,2.2,0.07,0
12/16/2006 23:00,2.0616,0.071433333,240.6196667,8.896666667,0,0.083333333,0,2006,12,16,23,4.55,5.31,2.01,0.08,0
12/17/2006 0:00,1.882466667,0.102433333,240.9618333,8.126666667,0,0.466666667,0,2006,12,17,0,4.48,5.25,1.85,0.18,0
12/17/2006 1:00,3.3494,0.136933333,240.4483333,14.24666667,0,25.23333333,0,2006,12,17,1,4.15,5.07,1.94,0.2,0
12/17/2006 2:00,1.587266667,0.078233333,245.8186667,6.87,0,0.566666667,0,2006,12,17,2,3.63,4.82,2.27,0.18,0
12/17/2006 3:00,1.6622,0.079533333,244.5135,7.206666667,0,0.766666667,0,2006,12,17,3,3.23,4.7,2.78,0.11,0
12/17/2006 4:00,2.215766667,0.093466667,243.8555,9.333333333,0,0.566666667,8.883333333,2006,12,17,4,2.43,4.52,2.66,0.13,0
12/17/2006 5:00,1.996733333,0.060233333,243.7101667,8.566666667,0,0.166666667,4.65,2006,12,17,5,2.4,4.46,3.07,0.06,0
12/17/2006 6:00,1.3033,0.094833333,244.1415,5.53,0,0.716666667,0,2006,12,17,6,2.54,4.46,3.33,0.02,0
12/17/2006 7:00,1.620033333,0.0598,241.8456667,6.803333333,0,0.166666667,0,2006,12,17,7,2.45,4.46,3.15,0.01,0
12/17/2006 8:00,1.890566667,0.118566667,241.3115,8.05,0,0.75,0,2006,12,17,8,2.53,4.39,3.57,0.01,0.05
12/17/2006 9:00,2.549066667,0.079233333,238.8478333,10.97333333,0,7.316666667,0,2006,12,17,9,2.83,4.39,3.6,0.02,0.23
12/17/2006 10:00,3.6289,0.1946,235.441,15.53333333,8.883333333,22.35,16.15,2006,12,17,10,3.54,4.52,3.39,0.01,0.45
12/17/2006 11:00,2.471,0.2007,236.9246667,10.49333333,9.45,5.016666667,17.18333333,2006,12,17,11,4.64,4.64,3.29,0,0.58
12/17/2006 12:00,1.915866667,0.294033333,237.7846667,8.136666667,0,0.533333333,17.31666667,2006,12,17,12,5.46,4.58,3.42,0,0.52
12/17/2006 13:00,1.660766667,0.171533333,239.9206667,6.923333333,0,0.05,17.61666667,2006,12,17,13,5.61,4.52,3.47,0,0.33
12/17/2006 14:00,2.092633333,0.2574,244.0456667,8.6,0,0.333333333,18.23333333,2006,12,17,14,4.72,4.58,2.54,0,0.1
12/17/2006 15:00,2.9854,0.0886,240.4808333,12.42666667,6.966666667,0.2,17.7,2006,12,17,15,2.15,4.27,2.53,0,0.02
12/17/2006 16:00,3.326033333,0.093133333,236.7818333,14.00666667,8.583333333,0.066666667,17.16666667,2006,12,17,16,0.75,4.15,2.85,0,0
12/17/2006 17:00,3.406766667,0.166633333,234.2298333,14.51,0,0.466666667,16.81666667,2006,12,17,17,0.41,4.15,2.86,0,0
12/17/2006 18:00,3.6971,0.135066667,234.3723333,15.75,0,0,16.83333333,2006,12,17,18,0.11,4.21,2.82,0,0
12/17/2006 19:00,2.9084,0.265166667,233.1956667,12.51666667,0,0.516666667,16.68333333,2006,12,17,19,-0.23,4.21,2.73,0,0
12/17/2006 20:00,3.3615,0.2715,236.4265,14.27666667,0,1.116666667,17.11666667,2006,12,17,20,-0.44,4.21,2.59,0,0
12/17/2006 21:00,3.040766667,0.267966667,239.1041667,12.71666667,0,1.2,17.5,2006,12,17,21,-0.22,4.21,2.46,0,0
12/17/2006 22:00,1.518,0.235366667,242.1923333,6.383333333,0,0.416666667,2.5,2006,12,17,22,0.59,4.15,2.12,0,0
12/17/2006 23:00,0.437733333,0.2218,245.734,1.996666667,0,0.8,0,2006,12,17,23,1.12,4.09,2.52,0.01,0
12/18/2006 0:00,0.276366667,0.099066667,244.6075,1.223333333,0,0.033333333,0,2006,12,18,0,0.96,4.03,2.23,0.01,0
12/18/2006 1:00,0.3133,0.1519,243.5193333,1.416666667,0,0.583333333,0,2006,12,18,1,0.7,3.91,1.94,0.01,0
