k,device_power_kW,sigma_method,Correct-ALLOW,Incorrect-ALLOW,Correct-DENY,Incorrect-DENY,Total,ALLOW_count,ALLOW_rate_%,Incorrect_ALLOW_rate_%,Incorrect_DENY_rate_%,Precision_ALLOW_%,Recall_ALLOW_%,Safety_rate_%
0.5,0.5,Global σ,8,1,153,14,176,9,5.113636363636364,0.5681818181818182,7.954545454545454,88.88888888888889,36.36363636363637,99.43181818181817
1.0,0.5,Global σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
1.5,0.5,Global σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
2.0,0.5,Global σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
2.5,0.5,Global σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
0.5,0.5,Bucketed σ,8,1,153,14,176,9,5.113636363636364,0.5681818181818182,7.954545454545454,88.88888888888889,36.36363636363637,99.43181818181817
1.0,0.5,Bucketed σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
1.5,0.5,Bucketed σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
2.0,0.5,Bucketed σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
2.5,0.5,Bucketed σ,0,0,154,22,176,0,0.0,0.0,12.5,,0.0,100.0
0.5,1.2,Global σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
1.0,1.2,Global σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
1.5,1.2,Global σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
2.0,1.2,Global σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
2.5,1.2,Global σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
0.5,1.2,Bucketed σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
1.0,1.2,Bucketed σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
1.5,1.2,Bucketed σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
2.0,1.2,Bucketed σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
2.5,1.2,Bucketed σ,0,0,171,5,176,0,0.0,0.0,2.840909090909091,,0.0,100.0
