k,sigma_method,combined_coverage_%,n_correct_allow,n_incorrect_allow,n_correct_deny,n_incorrect_deny,n_system_allows,precision_allow_%,recall_allow_%,safety_rate_%
0.5,Global σ,52.63157894736842,8,1,153,14,9,88.88888888888889,36.36363636363637,99.43181818181817
1.0,Global σ,36.84210526315789,0,0,154,22,0,0.0,0.0,100.0
1.5,Global σ,15.789473684210526,0,0,154,22,0,0.0,0.0,100.0
2.0,Global σ,0.0,0,0,154,22,0,0.0,0.0,100.0
2.5,Global σ,0.0,0,0,154,22,0,0.0,0.0,100.0
0.5,Bucketed σ,50.0,8,1,153,14,9,88.88888888888889,36.36363636363637,99.43181818181817
1.0,Bucketed σ,31.57894736842105,0,0,154,22,0,0.0,0.0,100.0
1.5,Bucketed σ,18.421052631578945,0,0,154,22,0,0.0,0.0,100.0
2.0,Bucketed σ,0.0,0,0,154,22,0,0.0,0.0,100.0
2.5,Bucketed σ,0.0,0,0,154,22,0,0.0,0.0,100.0
