hour,residual
0,0.36508822795783624
1,0.2939714029104757
2,0.26250117526832367
3,0.20194081868329714
4,0.20735214917509812
5,0.22832468939891729
6,0.3377803814981707
7,0.5408303633728516
8,0.45535141421016795
9,0.44819873196944876
10,0.5042942588879069
11,0.5453683856478444
12,0.5921861620477638
13,0.48988851436659386
14,0.5427203757930281
15,0.5131978505295445
16,0.4408375150967702
17,0.47585393301822115
18,0.6527140649393764
19,0.6111519620324163
20,0.6290175954358725
21,0.6655940839631711
22,0.5647839564080801
23,0.5083230128937604
